Título,Data de Lançamento,Avaliação,Votos,Duração,Gêneros,Sinopse,Diretor,Elenco Principal,Link
Der Tiger,2025,6.5,,1h 56m,"German, Action, Drama, Thriller, War","The five-man crew of a German Tiger tank is sent on a secret mission far behind the fiercely contested front line. Fueled by the Wehrmacht's methamphetamine, their mission increasingly becom... Read all",Dennis Gansel,,https://imdb.com/title/tt31495504/?ref_=chtmvm_i_15
Dhurandhar,2025,8.6,,3h 34m,"Hindi, Action Epic, Gangster, Political Drama, Political Thriller","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",Aditya Dhar,,https://imdb.com/title/tt33014583/?ref_=chtmvm_i_20
A criada,2025,7.0,,2h 11m,"Psychological Drama, Psychological Thriller, Drama, Thriller","A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own.",Paul Feig,,https://imdb.com/title/tt27543632/?ref_=chtmvm_i_2
Zootrópolis 2,2025,7.5,,1h 48m,"Animal Adventure, Buddy Comedy, Computer Animation, Urban Adventure, Whodunnit","Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",Jared Bush,,https://imdb.com/title/tt26443597/?ref_=chtmvm_i_19
Predador: Badlands,2025,7.3,,1h 47m,"Alien Invasion, Action, Adventure, Sci-Fi, Thriller",A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.,Dan Trachtenberg,,https://imdb.com/title/tt31227572/?ref_=chtmvm_i_10
Anaconda,2025,6.1,,1h 39m,"Jungle Adventure, Action, Adventure, Comedy",A group of friends are going through a mid-life crisis. They decide to remake a favorite movie from their youth but encounter unexpected events when they enter the jungle.,Tom Gormican,,https://imdb.com/title/tt33244668/?ref_=chtmvm_i_18
Marty Supreme,2025,8.2,,2h 29m,"Epic, Period Drama, Drama, Sport","Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",Josh Safdie,,https://imdb.com/title/tt32916440/?ref_=chtmvm_i_3
Pecadores,2025,7.5,,2h 17m,"Folk Horror, Period Drama, Supernatural Horror, Vampire Horror, Action","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Ryan Coogler,,https://imdb.com/title/tt31193180/?ref_=chtmvm_i_11
Hamnet,2025,8.1,,2h 5m,"Costume Drama, Period Drama, Psychological Drama, Tragedy, Biography","After losing their son Hamnet to plague, Agnes and William Shakespeare grapple with grief in 16th-century England. A healer, Agnes must find strength to care for her surviving children while... Read all",Chloé Zhao,,https://imdb.com/title/tt14905854/?ref_=chtmvm_i_14
Greenland: Um Novo Começo,2026,5.9,,1h 38m,"Disaster, Survival, Action, Adventure, Sci-Fi",The surviving Garrity family must leave the safety of the Greenland bunker and embark on a perilous journey across the decimated frozen wasteland of Europe to find a new home.,Ric Roman Waugh,,https://imdb.com/title/tt14850054/?ref_=chtmvm_i_12
