Título,Data de Lançamento,Avaliação,Votos,Duração,Gêneros,Sinopse,Diretor,Elenco Principal,Link
A Lista de Schindler,1993,9.0,,3h 15m,"Docudrama, Epic, Historical Epic, Period Drama, Prison Drama","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,,https://imdb.com/title/tt0108052/?ref_=chttp_i_7
O Padrinho: Parte II,1974,9.0,,3h 22m,"Epic, Gangster, Tragedy, Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,,https://imdb.com/title/tt0071562/?ref_=chttp_i_4
O Senhor dos Anéis - A Irmandade do Anel,2001,8.9,,2h 58m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,,https://imdb.com/title/tt0120737/?ref_=chttp_i_8
Os Condenados de Shawshank,1994,9.3,,2h 22m,"Epic, Period Drama, Prison Drama, Drama","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,,https://imdb.com/title/tt0111161/?ref_=chttp_i_1
Clube de Combate,1999,8.8,,2h 19m,"Dark Comedy, Psychological Drama, Psychological Thriller, Workplace Drama, Crime",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,,https://imdb.com/title/tt0137523/?ref_=chttp_i_13
Pulp Fiction,1994,8.8,,2h 34m,"Dark Comedy, Drug Crime, Gangster, Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,,https://imdb.com/title/tt0110912/?ref_=chttp_i_9
Doze Homens em Fúria,1957,9.0,,1h 36m,"Legal Drama, Psychological Drama, Crime, Drama",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,,https://imdb.com/title/tt0050083/?ref_=chttp_i_5
"O Bom, o Mau e o Vilão",1966,8.8,,2h 41m,"Action Epic, Adventure Epic, Dark Comedy, Desert Adventure, Epic",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,,https://imdb.com/title/tt0060196/?ref_=chttp_i_10
Interstellar,2014,8.7,,2h 49m,"Adventure Epic, Epic, Psychological Drama, Quest, Sci-Fi Epic","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,,https://imdb.com/title/tt0816692/?ref_=chttp_i_18
Forrest Gump,1994,8.8,,2h 22m,"Epic, Period Drama, Romantic Epic, Tragic Romance, Drama","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,,https://imdb.com/title/tt0109830/?ref_=chttp_i_12
O Senhor dos Anéis - As Duas Torres,2002,8.8,,2h 59m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,,https://imdb.com/title/tt0167261/?ref_=chttp_i_11
O Cavaleiro das Trevas,2008,9.1,,2h 32m,"Action Epic, Epic, Psychological Drama, Psychological Thriller, Superhero","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,,https://imdb.com/title/tt0468569/?ref_=chttp_i_3
Seven - 7 Pecados Mortais,1995,8.6,,2h 7m,"Cop Drama, Hard-boiled Detective, Police Procedural, Psychological Drama, Psychological Thriller","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,,https://imdb.com/title/tt0114369/?ref_=chttp_i_20
Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7,,2h 4m,"Action Epic, Adventure Epic, Dark Fantasy, Dystopian Sci-Fi, Epic","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner,,https://imdb.com/title/tt0080684/?ref_=chttp_i_15
A Origem,2010,8.8,,2h 28m,"Action Epic, Adventure Epic, Epic, Psychological Thriller, Sci-Fi Epic","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the projec... Read all",Christopher Nolan,,https://imdb.com/title/tt1375666/?ref_=chttp_i_14
Tudo Bons Rapazes,1990,8.7,,2h 25m,"Docudrama, Gangster, True Crime, Biography, Crime","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,,https://imdb.com/title/tt0099685/?ref_=chttp_i_17
Voando Sobre Um Ninho de Cucos,1975,8.6,,2h 13m,"Dark Comedy, Medical Drama, Psychological Drama, Drama","A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nu... Read all",Milos Forman,,https://imdb.com/title/tt0073486/?ref_=chttp_i_19
O Senhor dos Anéis - O Regresso do Rei,2003,9.0,,3h 21m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Mountain Adventure",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,,https://imdb.com/title/tt0167260/?ref_=chttp_i_6
O Padrinho,1972,9.2,,2h 55m,"Epic, Gangster, Psychological Drama, Tragedy, Crime",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,,https://imdb.com/title/tt0068646/?ref_=chttp_i_2
