Título,Data de Lançamento,Avaliação,Votos,Duração,Gêneros,Sinopse,Diretor,Elenco Principal,Link
Race 3,2018,1.9,,2h 40m,"Hindi, Action, Thriller",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,Remo D'Souza,,https://imdb.com/title/tt7431594/?ref_=chtbtm_i_16
Terra - Campo de Batalha,2000,2.5,,1h 57m,"Alien Invasion, Action, Adventure, Sci-Fi","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite... Read all",Roger Christian,,https://imdb.com/title/tt0185183/?ref_=chtbtm_i_12
Os Sabichões 2: Os Bebés-Génios,2003,1.5,,1h 28m,"Comedy, Family, Sci-Fi",A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies every... Read all,Bob Clark,,https://imdb.com/title/tt0270846/?ref_=chtbtm_i_4
Lutando de nós,2025,2.5,,1h 31m,"Action Epic, Adventure Epic, Alien Invasion, Dark Comedy, Epic","A colossal invasion of Earth is coming in this off-kilter take on the legendary novel of the same name, filled with present-day themes of technology, government surveillance, and privacy.",Rich Lee,,https://imdb.com/title/tt13186306/?ref_=chtbtm_i_20
Saving Christmas,2014,1.3,,1h 19m,"Holiday Comedy, Holiday Family, Comedy, Family, Holiday","His annual Christmas party faltering thanks to his cynical brother-in-law, former Growing Pains star Kirk Cameron attempts to save the day by showing him that Jesus Christ remains a crucial ... Read all",Darren Doane,,https://imdb.com/title/tt4009460/?ref_=chtbtm_i_5
A Máscara 2 - A Nova Geração,2005,2.3,,1h 34m,"Slapstick, Comedy, Family, Fantasy","Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how l... Read all",Lawrence Guterman,,https://imdb.com/title/tt0362165/?ref_=chtbtm_i_9
Birdemic: Shock and Terror,2010,1.7,,1h 45m,"B-Action, B-Horror, Survival, Horror, Thriller","A horde of mutated birds descends upon the quiet town of Half Moon Bay, California. As the death toll rises, two citizens manage to fight back, but will they survive Birdemic?",James Nguyen,,https://imdb.com/title/tt1316037/?ref_=chtbtm_i_3
Radhe,2021,1.8,,1h 49m,"Hindi, Action, Thriller","An honest cop is determined to bring down a corrupt drug mafia, who targets youth to drive towards drug addiction.",Prabhu Deva,,https://imdb.com/title/tt10888594/?ref_=chtbtm_i_8
National Lampoon's Pledge This,2006,1.7,,1h 31m,"Raunchy Comedy, Comedy","At South Beach University, a beautiful sorority president takes in a group of unconventional freshman girls seeking acceptance into her house.",Strathford Hamilton,,https://imdb.com/title/tt0417056/?ref_=chtbtm_i_11
Ir ao Mar,1989,1.8,,1h 39m,"Parody, Slapstick, Comedy",A struggling young comedian takes a menial job on a cruise ship hoping for his big chance to make it in the world of cruise-ship comedy.,Valerie Breiman,,https://imdb.com/title/tt0096870/?ref_=chtbtm_i_17
A Bela & a Amiga,2008,2.0,,1h 31m,"Raunchy Comedy, Romantic Comedy, Comedy, Romance",A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.,Tom Putnam,,https://imdb.com/title/tt0804492/?ref_=chtbtm_i_6
Dünyayi Kurtaran Adam'in Oglu,2006,1.5,,1h 50m,"Turkish, Action, Comedy, Sci-Fi","The son of ""The Man Who Saved the World"" is searching for a crew member of his spaceship who has been missing for eight years.",Kartal Tibet,,https://imdb.com/title/tt0808240/?ref_=chtbtm_i_18
Epic Movie,2007,2.5,,1h 26m,"Adventure Epic, Parody, Slapstick, Adventure, Comedy","A spoof on previous years' epic movies (O Código Da Vinci (2006), As Crónicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa (2005) + 20 more), TV series, music videos and celebs. 4 orphan... Read all",Jason Friedberg,,https://imdb.com/title/tt0799949/?ref_=chtbtm_i_10
Dragonball: Evolução,2009,2.5,,1h 25m,"Martial Arts, Superhero, Action, Adventure, Fantasy","The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,,https://imdb.com/title/tt1098327/?ref_=chtbtm_i_14
House of the Dead - A Casa da Morte,2003,2.1,,1h 30m,"B-Action, B-Horror, Gun Fu, Zombie Horror, Action","A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.",Uwe Boll,,https://imdb.com/title/tt0317676/?ref_=chtbtm_i_7
Manos: The Hands of Fate,1966,1.7,,1h 10m,"B-Horror, Folk Horror, Supernatural Horror, Horror","A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",Harold P. Warren,,https://imdb.com/title/tt0060666/?ref_=chtbtm_i_2
Alone in the Dark - Sozinhos no Escuro,2005,2.4,,1h 39m,"Monster Horror, Supernatural Horror, Action, Horror, Sci-Fi",A detective of the paranormal slowly unravels mysterious events with deadly results.,Uwe Boll,,https://imdb.com/title/tt0369226/?ref_=chtbtm_i_13
Do Justin com amor para a Kelly,2003,1.9,,1h 21m,"Pop Musical, Romantic Comedy, Comedy, Music, Musical","A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.",Robert Iscove,,https://imdb.com/title/tt0339034/?ref_=chtbtm_i_19
Um Desastre de Filme,2008,1.9,,1h 27m,"Disaster, Parody, Raunchy Comedy, Superhero, Comedy","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",Jason Friedberg,,https://imdb.com/title/tt1213644/?ref_=chtbtm_i_1
Luta de Comida!,2012,1.3,,1h 31m,"Computer Animation, High-Concept Comedy, Raunchy Comedy, Urban Adventure, Adventure",The evil Brand X joins a supermarket that becomes a city after closing time.,Lawrence Kasanoff,,https://imdb.com/title/tt0249516/?ref_=chtbtm_i_15
Duro Amor,2003,2.7,,2h 1m,"Dark Comedy, Romantic Comedy, Comedy, Crime, Romance","Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney, and a beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mes... Read all",Martin Brest,,https://imdb.com/title/tt0299930/?ref_=chtbtm_i_21
Uns Espartanos do Pior,2008,2.8,,1h 27m,"Parody, Slapstick, Comedy, Fantasy","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight ... Read all",Jason Friedberg,,https://imdb.com/title/tt1073498/?ref_=chtbtm_i_22
Daniel der Zauberer,2004,1.2,,1h 21m,"German, Supernatural Fantasy, Comedy, Crime, Fantasy","Evil assassins want to kill Daniel Kublbock, the third runner up for the German Idols.",Ulli Lommel,,https://imdb.com/title/tt0421051/?ref_=chtbtm_i_23
Cats,2019,2.8,,1h 50m,"Pop Musical, Comedy, Drama, Family, Fantasy",A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,Tom Hooper,,https://imdb.com/title/tt5697572/?ref_=chtbtm_i_24
Date Movie,2006,2.8,,1h 23m,"Parody, Romantic Comedy, Slapstick, Comedy, Romance","Spoof of romantic comedies which focuses on a woman, her crush, her parents, and her father.",Aaron Seltzer,,https://imdb.com/title/tt0466342/?ref_=chtbtm_i_25
